Employee ID,Date,Time-in,Time-out
10001,1/9/2022,8:00,17:00
10001,1/11/2022,0:00,0:00
10001,1/12/2022,8:00,17:00
10001,2/9/2022,8:00,17:00
10001,2/11/2022,8:00,17:00
10001,2/12/2022,8:00,17:00
10001,3/10/2022,8:00,17:00
10001,3/11/2022,8:00,17:00
10001,4/10/2022,8:00,17:00
10001,4/11/2022,8:00,17:00
10001,5/9/2022,8:00,17:00
10001,5/10/2022,8:00,17:00
10001,5/12/2022,8:00,17:00
10001,6/9/2022,8:00,17:00
10001,6/10/2022,8:00,17:00
10001,6/12/2022,8:00,17:00
10001,7/9/2022,8:00,17:00
10001,7/10/2022,8:00,17:00
10001,7/11/2022,8:00,17:00
10001,7/12/2022,8:00,17:00
10001,8/9/2022,8:00,17:00
10001,8/11/2022,8:00,17:00
10001,8/12/2022,0:00,0:00
10001,9/9/2022,8:00,17:00
10001,9/11/2022,8:00,17:00
10001,9/12/2022,8:00,17:00
10001,9/13/2022,8:00,17:00
10001,9/14/2022,8:00,17:00
10001,9/15/2022,8:00,17:00
10001,9/16/2022,8:00,17:00
10001,9/19/2022,8:00,17:00
10001,9/20/2022,8:00,17:00
10001,9/21/2022,8:00,17:00
10001,9/22/2022,8:00,17:00
10001,9/23/2022,8:00,17:00
10001,9/26/2022,8:00,17:00
10001,9/27/2022,8:00,17:00
10001,9/28/2022,8:00,17:00
10001,9/29/2022,8:00,17:00
10001,9/30/2022,8:00,17:00
10001,10/10/2022,8:00,17:00
10001,10/11/2022,8:00,17:00
10001,10/13/2022,8:00,17:00
10001,10/14/2022,8:00,17:00
10001,10/17/2022,8:00,17:00
10001,10/18/2022,8:00,17:00
10001,10/19/2022,8:00,17:00
10001,10/20/2022,8:00,17:00
10001,10/21/2022,8:00,17:00
10001,10/24/2022,8:00,17:00
10001,10/25/2022,8:00,17:00
10001,10/26/2022,8:00,17:00
10001,10/27/2022,8:00,17:00
10001,10/28/2022,8:00,17:00
10001,10/31/2022,8:00,17:00
10001,11/10/2022,8:00,17:00
10001,11/11/2022,8:00,17:00
10001,11/14/2022,8:00,17:00
10001,11/15/2022,8:00,17:00
10001,11/16/2022,8:00,17:00
10001,11/17/2022,8:00,17:00
10001,11/18/2022,8:00,17:00
10001,11/21/2022,8:00,17:00
10001,11/22/2022,8:00,17:00
10001,11/23/2022,8:00,17:00
10001,11/24/2022,8:00,17:00
10001,11/25/2022,8:00,17:00
10001,11/28/2022,8:00,17:00
10001,11/29/2022,8:00,17:00
10001,11/30/2022,0:00,0:00
10001,12/9/2022,8:00,17:00
10001,12/10/2022,8:00,17:00
10001,12/12/2022,8:00,17:00
10001,12/13/2022,8:00,17:00
10001,12/14/2022,8:00,17:00
10001,12/15/2022,8:00,17:00
10001,12/16/2022,8:00,17:00
10001,12/19/2022,8:00,17:00
10001,12/20/2022,8:00,17:00
10001,12/21/2022,8:00,17:00
10001,12/22/2022,8:00,17:00
10001,12/23/2022,8:00,17:00
10001,12/26/2022,8:00,17:00
10001,12/27/2022,8:00,17:00
10001,12/28/2022,8:00,17:00
10001,12/29/2022,8:00,17:00
10001,12/30/2022,0:00,0:00
10002,1/9/2022,8:00,17:00
10002,1/11/2022,0:00,0:00
10002,1/12/2022,8:00,17:00
10002,2/9/2022,8:00,17:00
10002,2/11/2022,8:00,17:00
10002,2/12/2022,8:00,17:00
10002,3/10/2022,8:00,17:00
10002,3/11/2022,8:00,17:00
10002,4/10/2022,8:00,17:00
10002,4/11/2022,8:00,17:00
10002,5/9/2022,8:00,17:00
10002,5/10/2022,8:00,17:00
10002,5/12/2022,8:00,17:00
10002,6/9/2022,8:00,17:00
10002,6/10/2022,8:00,17:00
10002,6/12/2022,8:00,17:00
10002,7/9/2022,8:00,17:00
10002,7/10/2022,8:00,17:00
10002,7/11/2022,8:00,17:00
10002,7/12/2022,8:00,17:00
10002,8/9/2022,8:00,17:00
10002,8/11/2022,8:00,17:00
10002,8/12/2022,0:00,0:00
10002,9/9/2022,8:00,17:00
10002,9/11/2022,8:00,17:00
10002,9/12/2022,8:00,17:00
10002,9/13/2022,8:00,17:00
10002,9/14/2022,8:00,17:00
10002,9/15/2022,8:00,17:00
10002,9/16/2022,8:00,17:00
10002,9/19/2022,8:00,17:00
10002,9/20/2022,8:00,17:00
10002,9/21/2022,8:00,17:00
10002,9/22/2022,8:00,17:00
10002,9/23/2022,8:00,17:00
10002,9/26/2022,8:00,17:00
10002,9/27/2022,8:00,17:00
10002,9/28/2022,8:00,17:00
10002,9/29/2022,8:00,17:00
10002,9/30/2022,8:00,17:00
10002,10/10/2022,8:00,17:00
10002,10/11/2022,8:00,17:00
10002,10/13/2022,8:00,17:00
10002,10/14/2022,8:00,17:00
10002,10/17/2022,8:00,17:00
10002,10/18/2022,8:00,17:00
10002,10/19/2022,8:00,17:00
10002,10/20/2022,8:00,17:00
10002,10/21/2022,8:00,17:00
10002,10/24/2022,8:00,17:00
10002,10/25/2022,8:00,17:00
10002,10/26/2022,8:00,17:00
10002,10/27/2022,8:00,17:00
10002,10/28/2022,8:00,17:00
10002,10/31/2022,8:00,17:00
10002,11/10/2022,8:00,17:00
10002,11/11/2022,8:00,17:00
10002,11/14/2022,8:00,17:00
10002,11/15/2022,8:00,17:00
10002,11/16/2022,8:00,17:00
10002,11/17/2022,8:00,17:00
10002,11/18/2022,8:00,17:00
10002,11/21/2022,8:00,17:00
10002,11/22/2022,8:00,17:00
10002,11/23/2022,8:00,17:00
10002,11/24/2022,8:00,17:00
10002,11/25/2022,8:00,17:00
10002,11/28/2022,8:00,17:00
10002,11/29/2022,8:00,17:00
10002,11/30/2022,0:00,0:00
10002,12/9/2022,8:00,17:00
10002,12/10/2022,8:00,17:00
10002,12/12/2022,8:00,17:00
10002,12/13/2022,8:00,17:00
10002,12/14/2022,8:00,17:00
10002,12/15/2022,0:00,0:00
10002,12/16/2022,0:00,0:00
10002,12/19/2022,0:00,0:00
10002,12/20/2022,0:00,0:00
10002,12/21/2022,0:00,0:00
10002,12/22/2022,0:00,0:00
10002,12/23/2022,0:00,0:00
10002,12/26/2022,0:00,0:00
10002,12/27/2022,0:00,0:00
10002,12/28/2022,0:00,0:00
10002,12/29/2022,0:00,0:00
10002,12/30/2022,0:00,0:00
10003,1/9/2022,8:00,17:00
10003,1/11/2022,0:00,0:00
10003,1/12/2022,8:00,17:00
10003,2/9/2022,8:00,17:00
10003,2/11/2022,8:00,17:00
10003,2/12/2022,11:30,17:00
10003,3/10/2022,8:00,17:00
10003,3/11/2022,11:30,17:00
10003,4/10/2022,8:00,17:00
10003,4/11/2022,8:00,17:00
10003,5/9/2022,8:00,17:00
10003,5/10/2022,11:30,17:00
10003,5/12/2022,8:00,17:00
